user_id,os_on,day_on,app_on,night_on,marketing_push_on,live_updated_at
17160,true,true,false,false,true,2020-02-02 04:38:05.129126+00
20669,false,false,false,false,false,2022-01-23 17:15:29.379708+00
20693,true,true,false,true,true,2020-06-03 00:40:31.917+00
21261,false,false,true,false,false,2021-02-22 14:32:51.111319+00
26107,true,false,false,false,false,2019-12-26 08:03:03.892+00
31067,true,false,false,false,false,2026-05-30 03:16:36.407101+00
49317,true,true,true,true,true,2022-01-08 07:43:10.82991+00
80299,true,true,true,false,true,2021-12-02 23:33:05.286738+00
109706,true,false,true,false,false,2019-08-31 09:47:34.03+00
135494,false,false,false,false,false,2019-12-06 16:39:34.172878+00
188737,false,false,false,false,false,2022-05-16 10:13:30.334+00
199618,true,true,true,true,true,2023-01-22 03:16:04.64+00
207240,true,false,true,false,false,2020-09-06 09:13:50.129955+00
231252,true,true,true,false,true,2019-08-22 01:58:33.055494+00
260517,false,false,true,false,false,2022-08-07 11:01:01.267+00
271782,false,false,true,false,false,2021-05-22 02:15:25.668906+00
292985,,,,,,
299402,true,true,true,false,true,2021-05-31 17:51:19.027397+00
300852,false,false,false,false,false,2022-11-22 13:13:02.996617+00
304623,false,false,true,false,false,2022-10-24 09:36:23.851+00
322891,,,,,,
338569,true,false,false,false,false,2020-11-17 00:02:20.295324+00
379373,true,true,false,false,true,2022-10-31 21:18:09.24+00
399097,false,false,false,false,false,2026-05-30 15:25:52.119528+00
486367,,,,,,
530045,true,true,true,false,true,2023-02-15 18:27:18.156+00
531745,true,true,true,false,true,2022-05-03 14:12:30.622+00
534477,true,true,true,true,true,2023-08-31 08:44:18.918795+00
549418,false,true,true,true,false,2022-03-25 16:37:36.866404+00
590225,true,true,true,false,true,2022-03-23 16:55:42.472431+00
601848,true,true,false,false,true,2025-02-01 06:11:49.56469+00
609537,false,true,true,false,false,2019-06-20 00:41:28.094486+00
624464,false,true,true,false,false,2023-04-17 23:07:20.830518+00
658046,false,false,false,false,false,2026-06-05 13:46:48.299685+00
658339,true,false,true,false,false,2023-03-08 23:02:54.647382+00
658844,,,,,,
673121,true,true,false,true,true,2022-10-07 02:10:38.799+00
712473,false,false,false,false,false,2020-02-06 04:55:46.886+00
727502,true,false,false,false,false,2026-05-30 03:02:56.739904+00
746438,true,true,true,false,true,2022-11-07 11:08:20.547977+00
754535,false,true,true,false,false,2019-07-28 02:06:48.050582+00
776499,true,true,true,true,true,2023-03-07 23:05:25.142509+00
782880,false,true,true,false,false,2023-02-27 03:22:32.950175+00
787665,false,true,true,false,false,2020-02-03 11:05:42.354+00
