tx_date,charge_cnt,charge_7d_avg,refund_cnt,refund_rate_pct,charge_krw_m
2025-02-01,527,527.0,25,4.7,11.62
2025-02-02,477,502.0,25,5.2,9.94
2025-02-03,385,463.0,40,10.4,7.35
2025-02-04,348,434.3,31,8.9,6.78
2025-02-05,350,417.4,23,6.6,6.91
2025-02-06,385,412.0,24,6.2,7.08
2025-02-07,566,434.0,23,4.1,11.14
2025-02-08,402,416.1,15,3.7,8.09
2025-02-09,365,400.1,22,6.0,7.64
2025-02-10,407,403.3,78,19.2,8.16
2025-02-11,367,406.0,30,8.2,7.02
2025-02-12,310,400.3,17,5.5,6.07
2025-02-13,365,397.4,58,15.9,6.71
2025-02-14,411,375.3,13,3.2,8.56
2025-02-15,425,378.6,13,3.1,8.86
2025-02-16,364,378.4,10,2.7,7.04
2025-02-17,347,369.9,16,4.6,7.13
2025-02-18,323,363.6,15,4.6,6.45
2025-02-19,288,360.4,19,6.6,5.83
2025-02-20,310,352.6,21,6.8,5.86
2025-02-21,427,354.9,28,6.6,8.0
2025-02-22,360,345.6,15,4.2,7.29
2025-02-23,349,343.4,10,2.9,7.21
2025-02-24,376,347.6,23,6.1,7.04
2025-02-25,319,347.0,20,6.3,6.35
2025-02-26,383,360.6,22,5.7,7.76
2025-02-27,316,361.4,21,6.6,5.73
2025-02-28,434,362.4,26,6.0,9.07
2025-03-01,375,364.6,31,8.3,8.01
2025-03-02,398,371.6,20,5.0,7.89
2025-03-03,408,376.1,26,6.4,8.53
2025-03-04,375,384.1,22,5.9,7.1
2025-03-05,340,378.0,26,7.6,7.18
2025-03-06,367,385.3,22,6.0,7.03
2025-03-07,442,386.4,16,3.6,8.59
2025-03-08,477,401.0,12,2.5,9.88
2025-03-09,424,404.7,12,2.8,8.2
2025-03-10,358,397.6,34,9.5,7.64
2025-03-11,339,392.4,2,0.6,6.27
2025-03-12,317,389.1,1,0.3,6.17
2025-03-13,347,386.3,16,4.6,7.06
2025-03-14,451,387.6,4,0.9,9.47
2025-03-15,404,377.1,2,0.5,7.87
2025-03-16,399,373.6,6,1.5,7.59
2025-03-17,351,372.6,3,0.9,6.59
2025-03-18,328,371.0,3,0.9,6.24
2025-03-19,293,367.6,2,0.7,5.85
2025-03-20,334,365.7,2,0.6,6.7
2025-03-21,462,367.3,1,0.2,9.39
2025-03-22,342,358.4,3,0.9,6.6
2025-03-23,363,353.3,4,1.1,7.52
2025-03-24,332,350.6,6,1.8,6.43
2025-03-25,365,355.9,2,0.5,7.78
2025-03-26,348,363.7,5,1.4,6.62
2025-03-27,366,368.3,3,0.8,7.5
2025-03-28,497,373.3,2,0.4,10.58
2025-03-29,342,373.3,1,0.3,6.66
2025-03-30,380,375.7,1,0.3,7.68
2025-03-31,333,375.9,8,2.4,6.31
2025-04-01,382,378.3,1,0.3,7.35
2025-04-02,327,375.3,1,0.3,6.49
2025-04-03,340,371.6,0,0.0,6.64
2025-04-04,472,368.0,1,0.2,9.5
2025-04-05,359,370.4,1,0.3,7.35
2025-04-06,399,373.1,3,0.8,7.87
2025-04-07,334,373.3,2,0.6,6.77
2025-04-08,309,362.9,1,0.3,5.87
2025-04-09,299,358.9,4,1.3,5.83
2025-04-10,338,358.6,1,0.3,6.61
2025-04-11,378,345.1,0,0.0,6.98
2025-04-12,384,348.7,0,0.0,7.09
2025-04-13,429,353.0,0,0.0,8.09
2025-04-14,353,355.7,1,0.3,6.8
2025-04-15,327,358.3,1,0.3,5.55
2025-04-16,315,360.6,1,0.3,6.25
2025-04-17,310,356.6,0,0.0,6.54
2025-04-18,310,346.9,0,0.0,6.04
2025-04-19,306,335.7,1,0.3,6.35
2025-04-20,393,330.6,1,0.3,7.85
2025-04-21,400,337.3,2,0.5,7.48
2025-04-22,290,332.0,2,0.7,5.25
2025-04-23,242,321.6,1,0.4,4.37
2025-04-24,258,314.1,0,0.0,4.92
2025-04-25,292,311.6,2,0.7,5.53
2025-04-26,266,305.9,2,0.8,5.14
2025-04-27,289,291.0,1,0.3,5.27
2025-04-28,289,275.1,0,0.0,5.44
2025-04-29,201,262.4,1,0.5,3.75
2025-04-30,308,271.9,0,0.0,5.96
