order_id,sku_id,product_type,account,charge_date,refund_date,refund_type,days_to_refund
GPA.3315-3154-7970-16044,,,,,2025-02-01,Full,
GPA.3316-0177-6275-09631,,,,,2025-02-01,Full,
GPA.3316-5268-4462-14691,,,,,2025-02-01,Full,
GPA.3316-6524-2675-81905,,,,,2025-02-01,Full,
GPA.3317-0336-3893-15180,,,,,2025-02-01,Full,
GPA.3320-3089-6038-43616,,,,,2025-02-01,Full,
GPA.3323-6096-0936-23273,,,,,2025-02-01,Full,
GPA.3325-1022-8785-21073,,,,,2025-02-01,Full,
GPA.3332-1786-3107-47578,,,,,2025-02-01,Full,
GPA.3332-5205-7074-32270,,,,,2025-02-01,Full,
GPA.3337-0627-5406-56929,,,,,2025-02-01,Full,
GPA.3345-9538-5722-28235,,,,,2025-02-01,Full,
GPA.3346-0369-2787-12022,,,,,2025-02-01,Full,
GPA.3347-5591-2065-56864,,,,,2025-02-01,Full,
GPA.3349-3896-7398-06034,,,,,2025-02-01,Full,
GPA.3350-4905-2635-70849,,,,,2025-02-01,Full,
GPA.3354-8263-9846-50961,,,,,2025-02-01,Full,
GPA.3364-7816-5885-64277,,,,,2025-02-01,Full,
GPA.3373-0417-1331-56189,,,,,2025-02-01,Full,
GPA.3373-0760-9191-87427,,,,,2025-02-01,Full,
GPA.3379-4012-1694-27192,,,,,2025-02-01,Full,
GPA.3384-5626-0349-55812,,,,,2025-02-01,Full,
GPA.3389-5490-1998-12619,,,,,2025-02-01,Full,
GPA.3395-2044-3265-23861,,,,,2025-02-01,Full,
GPA.3396-6686-1832-67636,,,,,2025-02-01,Full,
GPA.3312-3086-4748-19095,,,,,2025-02-02,Full,
GPA.3314-5177-1791-79700,,,,,2025-02-02,Full,
GPA.3315-4868-0347-31963,,,,,2025-02-02,Full,
GPA.3319-2998-8897-35102,,,,,2025-02-02,Full,
GPA.3320-1561-8404-37043,,,,,2025-02-02,Full,
GPA.3324-1959-4683-53437,,,,,2025-02-02,Full,
GPA.3324-5948-6246-89173,,,,,2025-02-02,Full,
GPA.3326-9448-4535-57335,hellobot_membership_1month_26000,1,legacy,2025-02-01,2025-02-02,Full,1
GPA.3327-7572-0151-61673,,,,,2025-02-02,Full,
GPA.3328-2676-9450-51719,,,,,2025-02-02,Full,
GPA.3348-8482-0440-85975,,,,,2025-02-02,Full,
GPA.3355-6931-3540-74307,,,,,2025-02-02,Full,
GPA.3357-0821-7085-71376,,,,,2025-02-02,Full,
GPA.3366-3775-2656-70552,,,,,2025-02-02,Full,
GPA.3366-6315-9121-09577,hellobot_coin250,1,legacy,2025-02-02,2025-02-02,Full,0
