tx_date,charge_cnt,charge_krw,charge_unique_orders,refund_cnt,refund_krw,refund_unique_orders,refund_rate_pct
2025-02-01,484,10496600.0,484,25,-552500.0,25,5.17
2025-02-02,461,9535412.0,461,23,-421200.0,23,4.99
2025-02-03,368,6905901.0,368,39,-635500.0,39,10.6
2025-02-04,314,5909284.0,314,30,-586500.0,30,9.55
2025-02-05,332,6456588.0,332,23,-456200.0,23,6.93
2025-02-06,365,6560764.0,365,24,-226200.0,24,6.58
2025-02-07,543,10561094.0,543,22,-513200.0,22,4.05
2025-02-08,379,7506595.0,379,15,-238600.0,15,3.96
2025-02-09,349,7219521.0,349,22,-261864.0,22,6.3
2025-02-10,380,7476977.0,380,75,-1467800.0,75,19.74
2025-02-11,350,6577617.0,350,29,-426010.0,29,8.29
2025-02-12,295,5693500.0,295,17,-256800.0,17,5.76
2025-02-13,347,6246198.0,347,58,-1327200.0,58,16.71
2025-02-14,383,7832726.0,383,13,-195100.0,13,3.39
2025-02-15,405,8343800.0,405,13,-130800.0,13,3.21
2025-02-16,339,6389028.0,339,10,-224800.0,10,2.95
2025-02-17,327,6626800.0,327,16,-236800.0,16,4.89
2025-02-18,309,6105096.0,309,15,-274200.0,15,4.85
2025-02-19,266,5257600.0,266,19,-284613.0,19,7.14
2025-02-20,291,5363271.0,291,21,-368100.0,21,7.22
2025-02-21,402,7361900.0,402,28,-590700.0,28,6.97
2025-02-22,345,6902800.0,345,15,-288500.0,15,4.35
2025-02-23,344,7083495.0,344,10,-125200.0,10,2.91
2025-02-24,356,6539292.0,356,22,-361400.0,22,6.18
2025-02-25,301,5915810.0,301,20,-429900.0,20,6.64
2025-02-26,363,7237900.0,363,22,-345300.0,22,6.06
2025-02-27,302,5365127.0,302,21,-417100.0,21,6.95
2025-02-28,369,7396200.0,369,26,-404000.0,26,7.05
2025-03-01,342,7141404.0,342,31,-574200.0,31,9.06
2025-03-02,383,7517100.0,383,19,-390100.0,19,4.96
2025-03-03,394,8161972.0,394,25,-384400.0,25,6.35
2025-03-04,346,6364706.0,346,22,-368300.0,22,6.36
2025-03-05,321,6701900.0,321,24,-441500.0,24,7.48
2025-03-06,348,6536619.0,348,22,-302400.0,22,6.32
2025-03-07,416,7931031.0,416,15,-247900.0,15,3.61
2025-03-08,453,9276084.0,453,12,-190000.0,12,2.65
2025-03-09,397,7497114.0,397,12,-255500.0,12,3.02
2025-03-10,329,6882301.0,329,29,-187100.0,29,8.81
2025-03-11,324,5877199.0,324,2,-26400.0,2,0.62
2025-03-12,307,5911400.0,307,1,-17000.0,1,0.33
2025-03-13,328,6577110.0,328,15,-66900.0,15,4.57
2025-03-14,426,8823200.0,426,4,-86900.0,4,0.94
2025-03-15,384,7347005.0,384,2,-38500.0,2,0.52
2025-03-16,370,6852482.0,370,6,-115800.0,6,1.62
2025-03-17,331,6085298.0,331,3,-29400.0,3,0.91
2025-03-18,315,5913400.0,315,3,-44400.0,3,0.95
2025-03-19,273,5331100.0,273,1,-28000.0,1,0.37
2025-03-20,316,6227647.0,316,2,-12300.0,2,0.63
2025-03-21,433,8648224.0,433,1,-2400.0,1,0.23
2025-03-22,330,6286018.0,330,2,-118000.0,2,0.61
2025-03-23,356,7337062.0,356,4,-52800.0,4,1.12
2025-03-24,307,5797194.0,307,5,-61400.0,5,1.63
2025-03-25,341,7192500.0,341,1,-24000.0,1,0.29
2025-03-26,326,6050025.0,326,5,-105900.0,5,1.53
2025-03-27,344,6931000.0,344,2,-19400.0,2,0.58
2025-03-28,455,9486198.0,455,1,-24000.0,1,0.22
2025-03-29,337,6529198.0,337,1,-5500.0,1,0.3
2025-03-30,373,7502200.0,373,1,-24000.0,1,0.27
2025-03-31,305,5602100.0,305,7,-72100.0,7,2.3
2025-04-01,353,6588714.0,353,1,-24000.0,1,0.28
2025-04-02,315,6197230.0,315,1,-9900.0,1,0.32
2025-04-03,325,6251867.0,325,0,,0,0.0
2025-04-04,444,8784075.0,444,1,-9900.0,1,0.23
2025-04-05,341,6879525.0,341,1,-9900.0,1,0.29
2025-04-06,380,7392346.0,380,3,-58000.0,3,0.79
2025-04-07,311,6185355.0,311,2,-38500.0,2,0.64
2025-04-08,288,5343600.0,288,1,-14000.0,1,0.35
2025-04-09,277,5258400.0,277,4,-43300.0,4,1.44
2025-04-10,316,6036900.0,316,1,-24000.0,1,0.32
2025-04-11,360,6514124.0,360,0,,0,0.0
2025-04-12,373,6806900.0,373,0,,0,0.0
2025-04-13,411,7639456.0,411,0,,0,0.0
2025-04-14,329,6173500.0,329,1,-24000.0,1,0.3
2025-04-15,313,5183715.0,313,1,-17000.0,1,0.32
2025-04-16,294,5704829.0,294,1,-33000.0,1,0.34
2025-04-17,285,5911106.0,285,0,,0,0.0
2025-04-18,297,5715602.0,297,0,,0,0.0
2025-04-19,289,5908621.0,289,1,-2400.0,1,0.35
2025-04-20,372,7308392.0,372,1,-5500.0,1,0.27
2025-04-21,375,6845700.0,375,2,-48000.0,2,0.53
2025-04-22,278,4941400.0,278,2,-26400.0,2,0.72
2025-04-23,238,4270002.0,238,1,-2400.0,1,0.42
2025-04-24,241,4497932.0,241,0,,0,0.0
2025-04-25,275,5124431.0,275,2,-48000.0,2,0.73
2025-04-26,245,4590100.0,245,1,-33000.0,1,0.41
2025-04-27,278,4987700.0,278,1,-33000.0,1,0.36
2025-04-28,264,4787536.0,264,0,,0,0.0
2025-04-29,192,3520400.0,192,0,,0,0.0
2025-04-30,271,5012100.0,271,0,,0,0.0
