tx_date,sub_charge_cnt,sub_charge_krw,sub_refund_cnt,sub_refund_krw,prod_charge_cnt,prod_charge_krw,prod_refund_cnt,prod_refund_krw
2025-02-01,43,1125428.0,0,,484,10496600.0,25,-552500.0
2025-02-02,16,399900.0,2,-52000.0,461,9535412.0,23,-421200.0
2025-02-03,17,442000.0,1,-26000.0,368,6905901.0,39,-635500.0
2025-02-04,34,867900.0,1,-26000.0,314,5909284.0,30,-586500.0
2025-02-05,18,451900.0,0,,332,6456588.0,23,-456200.0
2025-02-06,20,522344.0,0,,365,6560764.0,24,-226200.0
2025-02-07,23,581900.0,1,-26000.0,543,10561094.0,22,-513200.0
2025-02-08,23,581900.0,0,,379,7506595.0,15,-238600.0
2025-02-09,16,416000.0,0,,349,7219521.0,22,-261864.0
2025-02-10,27,685900.0,3,-78000.0,380,7476977.0,75,-1467800.0
2025-02-11,17,442000.0,1,-26000.0,350,6577617.0,29,-426010.0
2025-02-12,15,373900.0,0,,295,5693500.0,17,-256800.0
2025-02-13,18,468000.0,0,,347,6246198.0,58,-1327200.0
2025-02-14,28,728000.0,0,,383,7832726.0,13,-195100.0
2025-02-15,20,520000.0,0,,405,8343800.0,13,-130800.0
2025-02-16,25,650000.0,0,,339,6389028.0,10,-224800.0
2025-02-17,20,503900.0,0,,327,6626800.0,16,-236800.0
2025-02-18,14,347900.0,0,,309,6105096.0,15,-274200.0
2025-02-19,22,572000.0,0,,266,5257600.0,19,-284613.0
2025-02-20,19,494000.0,0,,291,5363271.0,21,-368100.0
2025-02-21,25,633797.0,0,,402,7361900.0,28,-590700.0
2025-02-22,15,390000.0,0,,345,6902800.0,15,-288500.0
2025-02-23,5,130000.0,0,,344,7083495.0,10,-125200.0
2025-02-24,20,503900.0,1,-26000.0,356,6539292.0,22,-361400.0
2025-02-25,18,435800.0,0,,301,5915810.0,20,-429900.0
2025-02-26,20,520000.0,0,,363,7237900.0,22,-345300.0
2025-02-27,14,364000.0,0,,302,5365127.0,21,-417100.0
2025-02-28,65,1673900.0,0,,369,7396200.0,26,-404000.0
2025-03-01,33,865547.0,0,,342,7141404.0,31,-574200.0
2025-03-02,15,373900.0,1,-26000.0,383,7517100.0,19,-390100.0
2025-03-03,14,364000.0,1,-26000.0,394,8161972.0,25,-384400.0
2025-03-04,29,737900.0,0,,346,6364706.0,22,-368300.0
2025-03-05,19,477900.0,2,-52000.0,321,6701900.0,24,-441500.0
2025-03-06,19,496327.0,0,,348,6536619.0,22,-302400.0
2025-03-07,26,659900.0,1,-26000.0,416,7931031.0,15,-247900.0
2025-03-08,24,607900.0,0,,453,9276084.0,12,-190000.0
2025-03-09,27,702000.0,0,,397,7497114.0,12,-255500.0
2025-03-10,29,754000.0,5,-130000.0,329,6882301.0,29,-187100.0
2025-03-11,15,390000.0,0,,324,5877199.0,2,-26400.0
2025-03-12,10,260000.0,0,,307,5911400.0,1,-17000.0
2025-03-13,19,477900.0,1,-26000.0,328,6577110.0,15,-66900.0
2025-03-14,25,650000.0,0,,426,8823200.0,4,-86900.0
2025-03-15,20,520000.0,0,,384,7347005.0,2,-38500.0
2025-03-16,29,737900.0,0,,370,6852482.0,6,-115800.0
2025-03-17,20,502045.0,0,,331,6085298.0,3,-29400.0
2025-03-18,13,321900.0,0,,315,5913400.0,3,-44400.0
2025-03-19,20,520000.0,1,-26000.0,273,5331100.0,1,-28000.0
2025-03-20,18,468000.0,0,,316,6227647.0,2,-12300.0
2025-03-21,29,738341.0,0,,433,8648224.0,1,-2400.0
2025-03-22,12,312000.0,1,-26000.0,330,6286018.0,2,-118000.0
2025-03-23,7,182000.0,0,,356,7337062.0,4,-52800.0
2025-03-24,25,633900.0,1,-26000.0,307,5797194.0,5,-61400.0
2025-03-25,24,591800.0,1,-26000.0,341,7192500.0,1,-24000.0
2025-03-26,22,572000.0,0,,326,6050025.0,5,-105900.0
2025-03-27,22,572000.0,1,-26000.0,344,6931000.0,2,-19400.0
2025-03-28,42,1092000.0,1,-26000.0,455,9486198.0,1,-24000.0
2025-03-29,5,130000.0,0,,337,6529198.0,1,-5500.0
2025-03-30,7,182000.0,0,,373,7502200.0,1,-24000.0
2025-03-31,28,711900.0,1,-26000.0,305,5602100.0,7,-72100.0
2025-04-01,29,761845.0,0,,353,6588714.0,1,-24000.0
2025-04-02,12,295900.0,0,,315,6197230.0,1,-9900.0
2025-04-03,15,390000.0,0,,325,6251867.0,0,
2025-04-04,28,711900.0,0,,444,8784075.0,1,-9900.0
2025-04-05,18,468000.0,0,,341,6879525.0,1,-9900.0
2025-04-06,19,480472.0,0,,380,7392346.0,3,-58000.0
2025-04-07,23,581900.0,0,,311,6185355.0,2,-38500.0
2025-04-08,21,529900.0,0,,288,5343600.0,1,-14000.0
2025-04-09,22,572000.0,0,,277,5258400.0,4,-43300.0
2025-04-10,22,572000.0,0,,316,6036900.0,1,-24000.0
2025-04-11,18,468000.0,0,,360,6514124.0,0,
2025-04-12,11,286000.0,0,,373,6806900.0,0,
2025-04-13,18,451900.0,0,,411,7639456.0,0,
2025-04-14,24,624000.0,0,,329,6173500.0,1,-24000.0
2025-04-15,14,364000.0,0,,313,5183715.0,1,-17000.0
2025-04-16,21,546000.0,0,,294,5704829.0,1,-33000.0
2025-04-17,25,630334.0,0,,285,5911106.0,0,
2025-04-18,13,321900.0,0,,297,5715602.0,0,
2025-04-19,17,442000.0,0,,289,5908621.0,1,-2400.0
2025-04-20,21,546000.0,0,,372,7308392.0,1,-5500.0
2025-04-21,25,633504.0,0,,375,6845700.0,2,-48000.0
2025-04-22,12,312000.0,0,,278,4941400.0,2,-26400.0
2025-04-23,4,104000.0,0,,238,4270002.0,1,-2400.0
2025-04-24,17,425900.0,0,,241,4497932.0,0,
2025-04-25,17,409800.0,0,,275,5124431.0,2,-48000.0
2025-04-26,21,546000.0,1,-26000.0,245,4590100.0,1,-33000.0
2025-04-27,11,286000.0,0,,278,4987700.0,1,-33000.0
2025-04-28,25,650000.0,0,,264,4787536.0,0,
2025-04-29,9,234000.0,1,-26000.0,192,3520400.0,0,
2025-04-30,37,945900.0,0,,271,5012100.0,0,
