tx_date,charge_cnt,charge_krw,charge_unique_orders,refund_cnt,refund_krw,refund_unique_orders,refund_rate_pct
2025-02-01,43,1125428.0,43,0,,0,0.0
2025-02-02,16,399900.0,16,2,-52000.0,2,12.5
2025-02-03,17,442000.0,17,1,-26000.0,1,5.88
2025-02-04,34,867900.0,34,1,-26000.0,1,2.94
2025-02-05,18,451900.0,18,0,,0,0.0
2025-02-06,20,522344.0,20,0,,0,0.0
2025-02-07,23,581900.0,23,1,-26000.0,1,4.35
2025-02-08,23,581900.0,23,0,,0,0.0
2025-02-09,16,416000.0,16,0,,0,0.0
2025-02-10,27,685900.0,27,3,-78000.0,3,11.11
2025-02-11,17,442000.0,17,1,-26000.0,1,5.88
2025-02-12,15,373900.0,15,0,,0,0.0
2025-02-13,18,468000.0,18,0,,0,0.0
2025-02-14,28,728000.0,28,0,,0,0.0
2025-02-15,20,520000.0,20,0,,0,0.0
2025-02-16,25,650000.0,25,0,,0,0.0
2025-02-17,20,503900.0,20,0,,0,0.0
2025-02-18,14,347900.0,14,0,,0,0.0
2025-02-19,22,572000.0,22,0,,0,0.0
2025-02-20,19,494000.0,19,0,,0,0.0
2025-02-21,25,633797.0,25,0,,0,0.0
2025-02-22,15,390000.0,15,0,,0,0.0
2025-02-23,5,130000.0,5,0,,0,0.0
2025-02-24,20,503900.0,20,1,-26000.0,1,5.0
2025-02-25,18,435800.0,18,0,,0,0.0
2025-02-26,20,520000.0,20,0,,0,0.0
2025-02-27,14,364000.0,14,0,,0,0.0
2025-02-28,65,1673900.0,65,0,,0,0.0
2025-03-01,33,865547.0,33,0,,0,0.0
2025-03-02,15,373900.0,15,1,-26000.0,1,6.67
2025-03-03,14,364000.0,14,1,-26000.0,1,7.14
2025-03-04,29,737900.0,29,0,,0,0.0
2025-03-05,19,477900.0,19,2,-52000.0,2,10.53
2025-03-06,19,496327.0,19,0,,0,0.0
2025-03-07,26,659900.0,26,1,-26000.0,1,3.85
2025-03-08,24,607900.0,24,0,,0,0.0
2025-03-09,27,702000.0,27,0,,0,0.0
2025-03-10,29,754000.0,29,5,-130000.0,5,17.24
2025-03-11,15,390000.0,15,0,,0,0.0
2025-03-12,10,260000.0,10,0,,0,0.0
2025-03-13,19,477900.0,19,1,-26000.0,1,5.26
2025-03-14,25,650000.0,25,0,,0,0.0
2025-03-15,20,520000.0,20,0,,0,0.0
2025-03-16,29,737900.0,29,0,,0,0.0
2025-03-17,20,502045.0,20,0,,0,0.0
2025-03-18,13,321900.0,13,0,,0,0.0
2025-03-19,20,520000.0,20,1,-26000.0,1,5.0
2025-03-20,18,468000.0,18,0,,0,0.0
2025-03-21,29,738341.0,29,0,,0,0.0
2025-03-22,12,312000.0,12,1,-26000.0,1,8.33
2025-03-23,7,182000.0,7,0,,0,0.0
2025-03-24,25,633900.0,25,1,-26000.0,1,4.0
2025-03-25,24,591800.0,24,1,-26000.0,1,4.17
2025-03-26,22,572000.0,22,0,,0,0.0
2025-03-27,22,572000.0,22,1,-26000.0,1,4.55
2025-03-28,42,1092000.0,42,1,-26000.0,1,2.38
2025-03-29,5,130000.0,5,0,,0,0.0
2025-03-30,7,182000.0,7,0,,0,0.0
2025-03-31,28,711900.0,28,1,-26000.0,1,3.57
2025-04-01,29,761845.0,29,0,,0,0.0
2025-04-02,12,295900.0,12,0,,0,0.0
2025-04-03,15,390000.0,15,0,,0,0.0
2025-04-04,28,711900.0,28,0,,0,0.0
2025-04-05,18,468000.0,18,0,,0,0.0
2025-04-06,19,480472.0,19,0,,0,0.0
2025-04-07,23,581900.0,23,0,,0,0.0
2025-04-08,21,529900.0,21,0,,0,0.0
2025-04-09,22,572000.0,22,0,,0,0.0
2025-04-10,22,572000.0,22,0,,0,0.0
2025-04-11,18,468000.0,18,0,,0,0.0
2025-04-12,11,286000.0,11,0,,0,0.0
2025-04-13,18,451900.0,18,0,,0,0.0
2025-04-14,24,624000.0,24,0,,0,0.0
2025-04-15,14,364000.0,14,0,,0,0.0
2025-04-16,21,546000.0,21,0,,0,0.0
2025-04-17,25,630334.0,25,0,,0,0.0
2025-04-18,13,321900.0,13,0,,0,0.0
2025-04-19,17,442000.0,17,0,,0,0.0
2025-04-20,21,546000.0,21,0,,0,0.0
2025-04-21,25,633504.0,25,0,,0,0.0
2025-04-22,12,312000.0,12,0,,0,0.0
2025-04-23,4,104000.0,4,0,,0,0.0
2025-04-24,17,425900.0,17,0,,0,0.0
2025-04-25,17,409800.0,17,0,,0,0.0
2025-04-26,21,546000.0,21,1,-26000.0,1,4.76
2025-04-27,11,286000.0,11,0,,0,0.0
2025-04-28,25,650000.0,25,0,,0,0.0
2025-04-29,9,234000.0,9,1,-26000.0,1,11.11
2025-04-30,37,945900.0,37,0,,0,0.0
