rank,rec_menu,share_pct,s_topic,s_ctype
1,2141,5.15,연애,타로
2,400,4.08,연애,타로
3,2505,2.15,연애,타로
4,2142,2.05,연애,타로
5,43513,1.96,연애,사주
6,21964,1.77,연애,사주
7,13663,1.74,연애,타로
8,42952,1.72,연애,사주
9,17212,1.67,연애,타로
10,28894,1.58,연애,사주
11,2236,1.45,연애,타로
12,47704,1.29,연애,
13,2202,1.26,학업직업,사주
14,43117,1.24,연애,사주
15,2166,1.23,연애,사주
16,1210,1.15,연애,타로
17,23878,1.14,연애,사주
18,50312,1.06,연애,사주
19,25978,0.98,연애,타로
20,22360,0.95,결혼,사주
21,49255,0.9,연애,
22,41402,0.85,연애,사주
23,27376,0.85,결혼,사주
24,43216,0.81,총운,사주
25,39091,0.77,연애,타로
