rank,rec_menu,rec_name,s_topic,s_ctype,share_pct
1,2141,그 사람의 속마음,연애,타로,5.15
2,400,다시 만날 수 있을까,연애,타로,4.08
3,2505,지금 날 좋아하는 사람은?,연애,타로,2.15
4,2142,재회확률 높이는 법,연애,타로,2.05
5,43513,2025 을사년 운세: 사랑과 인연,연애,사주,1.96
6,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,1.77
7,13663,어떤 사람과 사귈 운명일까?,연애,타로,1.74
8,42952,내 사주에 쓰인 운명의 배우자,연애,사주,1.72
9,17212,그 사람이 연락을 안 하는 이유,연애,타로,1.67
10,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,1.58
11,2236,전연인 어떻게 지낼까,연애,타로,1.45
12,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,,1.29
13,2202,사주로 보는 직업운,학업직업,사주,1.26
14,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,1.24
15,2166,그 사람과 나의 사주 궁합,연애,사주,1.23
16,1210,우리 얼마나 오래 갈까?,연애,타로,1.15
17,23878,내 운명 지금 어디 있을까?,연애,사주,1.14
18,50312,2025 을사년 하반기 애정운,연애,사주,1.06
19,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애,타로,0.98
20,22360,사주로 보는 내 결혼 상대는?,결혼,사주,0.95
21,49255,내 팔자에 새겨진 천년배필,연애,,0.9
22,41402,(미상:41402),연애,사주,0.85
23,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,0.85
24,43216,2025년 신년운세 보고서,총운,사주,0.81
25,39091,재회 타로 : 그 사람의 첫 연락,연애,타로,0.77
