f_menu,f_name,f_topic,f_ctype,f_buyers,anchor_n2,rank,rec_menu,rec_name,rec_topic,rec_ctype,rec_price,conf_pct,lift,pair_n,same_menu
2141,그 사람의 속마음,연애,타로,4062,2838,1,2141,그 사람의 속마음,연애,타로,1500.0,15.6,3.03,443,1
2141,그 사람의 속마음,연애,타로,4062,2838,2,17212,그 사람이 연락을 안 하는 이유,연애,타로,1500.0,12.9,7.76,367,0
2141,그 사람의 속마음,연애,타로,4062,2838,3,400,다시 만날 수 있을까,연애,타로,1500.0,5.6,1.37,159,0
2141,그 사람의 속마음,연애,타로,4062,2838,4,2429,그 사람과 사귀면 어떨까?,연애,타로,1800.0,4.4,14.34,126,0
2141,그 사람의 속마음,연애,타로,4062,2838,5,49882,그 사람의 숨겨진 진짜 속마음 💟,연애,?,2250.0,3.3,6.63,93,0
43513,2025 을사년 운세: 사랑과 인연,연애,사주,3763,2874,1,43612,[추가구매] 2025 을사년 운세: 사랑과 인연,연애,사주,9000.0,11.8,24.65,338,0
43513,2025 을사년 운세: 사랑과 인연,연애,사주,3763,2874,2,2141,그 사람의 속마음,연애,타로,1500.0,4.6,0.9,133,0
43513,2025 을사년 운세: 사랑과 인연,연애,사주,3763,2874,3,400,다시 만날 수 있을까,연애,타로,1500.0,4.2,1.02,120,0
43513,2025 을사년 운세: 사랑과 인연,연애,사주,3763,2874,4,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,4.1,2.39,118,0
43513,2025 을사년 운세: 사랑과 인연,연애,사주,3763,2874,5,43683,[창광] 25년 을사년 사랑운과 인연운,연애,사주,18000.0,3.1,5.09,90,0
400,다시 만날 수 있을까,연애,타로,3727,3107,1,2236,전연인 어떻게 지낼까,연애,타로,1500.0,16.8,11.63,523,0
400,다시 만날 수 있을까,연애,타로,3727,3107,2,400,다시 만날 수 있을까,연애,타로,1500.0,14.9,3.65,463,1
400,다시 만날 수 있을까,연애,타로,3727,3107,3,2142,재회확률 높이는 법,연애,타로,1500.0,14.2,6.93,441,0
400,다시 만날 수 있을까,연애,타로,3727,3107,4,2141,그 사람의 속마음,연애,타로,1500.0,7.5,1.46,234,0
400,다시 만날 수 있을까,연애,타로,3727,3107,5,18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,연애,타로,3000.0,5.6,7.34,174,0
28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,3032,2281,1,400,다시 만날 수 있을까,연애,타로,1500.0,13.4,3.29,306,0
28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,3032,2281,2,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애,타로,18000.0,7.1,7.31,163,0
28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,3032,2281,3,18270,그 사람 아직 나한테 미련 있을까?,연애,타로,10500.0,5.0,7.57,114,0
28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,3032,2281,4,2142,재회확률 높이는 법,연애,타로,1500.0,5.0,2.44,114,0
28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,3032,2281,5,39332,(업셀링_판밍밍) 재회 코칭 프리패스,연애,기타,12000.0,3.9,31.15,88,0
42952,내 사주에 쓰인 운명의 배우자,연애,사주,2693,2048,1,43513,2025 을사년 운세: 사랑과 인연,연애,사주,19500.0,5.5,2.79,112,0
42952,내 사주에 쓰인 운명의 배우자,연애,사주,2693,2048,2,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,3.5,1.96,71,0
42952,내 사주에 쓰인 운명의 배우자,연애,사주,2693,2048,3,2505,지금 날 좋아하는 사람은?,연애,타로,1500.0,3.4,1.59,70,0
42952,내 사주에 쓰인 운명의 배우자,연애,사주,2693,2048,4,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,18000.0,3.3,2.67,68,0
42952,내 사주에 쓰인 운명의 배우자,연애,사주,2693,2048,5,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,3.0,1.76,62,1
21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,2263,1728,1,23878,내 운명 지금 어디 있을까?,연애,사주,18000.0,4.1,3.57,70,0
21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,2263,1728,2,13663,어떤 사람과 사귈 운명일까?,연애,타로,1500.0,3.7,2.13,64,0
21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,2263,1728,3,2141,그 사람의 속마음,연애,타로,1500.0,3.6,0.71,63,0
21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,2263,1728,4,22360,사주로 보는 내 결혼 상대는?,결혼,사주,18000.0,3.6,3.79,62,0
21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,2263,1728,5,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,3.5,2.02,60,0
2166,그 사람과 나의 사주 궁합,연애,사주,2230,1463,1,1210,우리 얼마나 오래 갈까?,연애,타로,1500.0,5.9,5.15,87,0
2166,그 사람과 나의 사주 궁합,연애,사주,2230,1463,2,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,21000.0,5.3,6.3,78,0
2166,그 사람과 나의 사주 궁합,연애,사주,2230,1463,3,2166,그 사람과 나의 사주 궁합,연애,사주,21000.0,4.9,3.93,71,1
2166,그 사람과 나의 사주 궁합,연애,사주,2230,1463,4,2141,그 사람의 속마음,연애,타로,1500.0,4.1,0.8,60,0
2166,그 사람과 나의 사주 궁합,연애,사주,2230,1463,5,19304,사주로 보는 내 타고난 결혼운(추천 할인),결혼,사주,18000.0,4.0,29.24,59,0
41402,(미상:41402),연애,사주,2133,1697,1,41698,(미상:41698),연애,사주,,10.5,41.87,178,0
41402,(미상:41402),연애,사주,2133,1697,2,40510,(미상:40510),연애,사주,,9.5,12.73,162,0
41402,(미상:41402),연애,사주,2133,1697,3,2141,그 사람의 속마음,연애,타로,1500.0,5.1,0.98,86,0
41402,(미상:41402),연애,사주,2133,1697,4,43513,2025 을사년 운세: 사랑과 인연,연애,사주,19500.0,4.6,2.34,78,0
41402,(미상:41402),연애,사주,2133,1697,5,41764,(미상:41764),연애,사주,,3.9,8.69,67,0
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,2015,1386,1,2141,그 사람의 속마음,연애,타로,1500.0,5.1,0.98,70,0
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,2015,1386,2,49255,내 팔자에 새겨진 천년배필,연애,?,21000.0,4.1,4.55,57,0
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,2015,1386,3,50312,2025 을사년 하반기 애정운,연애,사주,21750.0,3.8,3.61,53,0
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,2015,1386,4,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,3.3,1.93,46,0
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,2015,1386,5,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,18000.0,3.0,2.44,42,0
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애,타로,1729,1344,1,400,다시 만날 수 있을까,연애,타로,1500.0,14.4,3.54,194,0
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애,타로,1729,1344,2,2142,재회확률 높이는 법,연애,타로,1500.0,8.8,4.29,118,0
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애,타로,1729,1344,3,2141,그 사람의 속마음,연애,타로,1500.0,6.0,1.17,81,0
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애,타로,1729,1344,4,21151,(추천할인) 헤어진 연인 붙잡을 수 있을까?,연애,타로,9000.0,6.0,48.06,80,0
