anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
400,다시 만날 수 있을까,3107,1,2236,전연인 어떻게 지낼까,연애/타로,523,16.8,11.6,15.6
400,다시 만날 수 있을까,3107,2,2142,재회확률 높이는 법,연애/타로,441,14.2,6.92,13.0
400,다시 만날 수 있을까,3107,3,2141,그 사람의 속마음,연애/타로,234,7.5,1.46,6.7
400,다시 만날 수 있을까,3107,4,18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,연애/타로,174,5.6,7.33,4.8
400,다시 만날 수 있을까,3107,5,16377,3개월 안에 다시 만날 수 있을까?,연애/타로,132,4.2,10.99,3.6
453,내 인생 황금기와 암흑기: 사주팔자 풀이,710,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,29,4.1,2.31,2.9
453,내 인생 황금기와 암흑기: 사주팔자 풀이,710,2,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,재물금전/사주,20,2.8,5.51,1.8
453,내 인생 황금기와 암흑기: 사주팔자 풀이,710,3,19192,타고난 결혼운 + 내 운명의 상대,결혼/사주,19,2.7,3.81,1.7
453,내 인생 황금기와 암흑기: 사주팔자 풀이,710,4,2166,그 사람과 나의 사주 궁합,연애/사주,17,2.4,1.95,1.5
453,내 인생 황금기와 암흑기: 사주팔자 풀이,710,5,2165,사주로 보는 재물운,재물금전/사주,17,2.4,3.28,1.5
523,결혼한다면 어떨까?,115,1,1210,우리 얼마나 오래 갈까?,연애/타로,19,16.5,14.28,10.8
536,시험 잘 볼 수 있을까,119,1,2425,이달의 합격운,학업직업/사주,12,10.1,38.0,5.9
536,시험 잘 볼 수 있을까,119,2,2296,지금 하는 거...계속 할까 말까?,일반운세/타로,11,9.2,62.97,5.2
537,나에게 어울리는 직업은?,53,1,2202,사주로 보는 직업운,학업직업/사주,12,22.6,17.96,13.5
1210,우리 얼마나 오래 갈까?,942,1,523,결혼한다면 어떨까?,결혼/타로,203,21.5,30.72,19.0
1210,우리 얼마나 오래 갈까?,942,2,2441,우리 커플 스킨십 궁합은?,연애/타로,95,10.1,31.62,8.3
1210,우리 얼마나 오래 갈까?,942,3,2141,그 사람의 속마음,연애/타로,73,7.7,1.5,6.2
1210,우리 얼마나 오래 갈까?,942,4,2263,내 애인 바람기,연애/타로,35,3.7,17.32,2.7
1210,우리 얼마나 오래 갈까?,942,5,2166,그 사람과 나의 사주 궁합,연애/사주,34,3.6,2.93,2.6
2141,그 사람의 속마음,2838,1,17212,그 사람이 연락을 안 하는 이유,연애/타로,367,12.9,7.79,11.7
2141,그 사람의 속마음,2838,2,400,다시 만날 수 있을까,연애/타로,159,5.6,1.37,4.8
2141,그 사람의 속마음,2838,3,2429,그 사람과 사귀면 어떨까?,연애/타로,126,4.4,14.3,3.7
2141,그 사람의 속마음,2838,4,49882,그 사람의 숨겨진 진짜 속마음 💟,연애/타로,93,3.3,6.61,2.7
2141,그 사람의 속마음,2838,5,18648,내가 관심 있는 거 눈치챘을까?,연애/타로,92,3.2,6.98,2.7
2142,재회확률 높이는 법,653,1,400,다시 만날 수 있을까,연애/타로,143,21.9,5.35,18.9
2142,재회확률 높이는 법,653,2,2141,그 사람의 속마음,연애/타로,51,7.8,1.52,6.0
2142,재회확률 높이는 법,653,3,18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,연애/타로,49,7.5,9.83,5.7
2142,재회확률 높이는 법,653,4,2236,전연인 어떻게 지낼까,연애/타로,35,5.4,3.69,3.9
2142,재회확률 높이는 법,653,5,17212,그 사람이 연락을 안 하는 이유,연애/타로,24,3.7,2.21,2.5
2155,이달의 취업운은 어떨까?,75,1,2248,서류 합격할 수 있을까?,학업직업/타로,12,16.0,236.17,9.4
