anchor,anchor_name,anchor_topic,anchor_n,rank,rec_menu,rec_name,source,score_pct,pair_n
399,(미상:399),일반운세|궁합,32,1,2395,내 첫인상 어떨까?,관심사,8.4,11
399,(미상:399),일반운세|궁합,32,2,2240,연애할 때 내 매력은 뭘까?,관심사,6.1,8
399,(미상:399),일반운세|궁합,32,3,2141,그 사람의 속마음,관심사,6.1,8
399,(미상:399),일반운세|궁합,32,4,2227,동갑vs연하vs연상,관심사,3.1,4
399,(미상:399),일반운세|궁합,32,5,2216,그 회사가 나랑 잘 어울릴까?,관심사,3.1,4
400,다시 만날 수 있을까,연애|재회,3727,1,2236,전연인 어떻게 지낼까,직접,16.8,523
400,다시 만날 수 있을까,연애|재회,3727,2,2142,재회확률 높이는 법,직접,14.2,441
400,다시 만날 수 있을까,연애|재회,3727,3,2141,그 사람의 속마음,직접,7.5,234
400,다시 만날 수 있을까,연애|재회,3727,4,18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,직접,5.6,174
400,다시 만날 수 있을까,연애|재회,3727,5,16377,3개월 안에 다시 만날 수 있을까?,직접,4.2,132
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세|*,984,1,21964,내 사주에 연애 상대 몇 명 있을까?,직접,4.1,29
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세|*,984,2,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,직접,2.8,20
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세|*,984,3,19192,타고난 결혼운 + 내 운명의 상대,직접,2.7,19
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세|*,984,4,2166,그 사람과 나의 사주 궁합,직접,2.4,17
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세|*,984,5,2165,사주로 보는 재물운,직접,2.4,17
523,결혼한다면 어떨까?,결혼|*,159,1,1210,우리 얼마나 오래 갈까?,직접,16.5,19
523,결혼한다면 어떨까?,결혼|*,159,2,2166,그 사람과 나의 사주 궁합,관심사,3.5,39
523,결혼한다면 어떨까?,결혼|*,159,3,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,관심사,3.2,35
523,결혼한다면 어떨까?,결혼|*,159,4,2141,그 사람의 속마음,관심사,2.7,30
523,결혼한다면 어떨까?,결혼|*,159,5,21964,내 사주에 연애 상대 몇 명 있을까?,관심사,2.7,30
526,우리가 싸우는 이유,연애|문제해결,42,1,2141,그 사람의 속마음,관심사,14.7,34
526,우리가 싸우는 이유,연애|문제해결,42,2,1210,우리 얼마나 오래 갈까?,관심사,7.8,18
526,우리가 싸우는 이유,연애|문제해결,42,3,34075,"불안한 사랑, 우리 관계의 미래는?",관심사,3.9,9
526,우리가 싸우는 이유,연애|문제해결,42,4,2329,화 풀어주는 법,관심사,3.9,9
526,우리가 싸우는 이유,연애|문제해결,42,5,2166,그 사람과 나의 사주 궁합,관심사,2.6,6
536,시험 잘 볼 수 있을까,학업직업|*,164,1,2425,이달의 합격운,직접,10.1,12
