anchor,anchor_name,anchor_topic,anchor_n_app,rank,rec_menu,rec_name,source,score_pct,lift,co_n
59089,내 운명 지도: 전국편,연애,205,1,55723,2026년 솔로 탈출 시기,직접,10.7,7.76,22
59089,내 운명 지도: 전국편,연애,205,2,42952,내 사주에 쓰인 운명의 배우자,직접,4.9,1.06,10
59089,내 운명 지도: 전국편,연애,205,3,13663,어떤 사람과 사귈 운명일까?,직접,3.9,1.34,8
59089,내 운명 지도: 전국편,연애,205,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,직접,3.9,1.2,8
59089,내 운명 지도: 전국편,연애,205,5,49255,내 팔자에 새겨진 천년배필,직접,3.9,1.95,8
59089,내 운명 지도: 전국편,연애,205,6,2505,지금 날 좋아하는 사람은?,직접,3.4,0.94,7
59089,내 운명 지도: 전국편,연애,205,7,21964,내 사주에 연애 상대 몇 명 있을까?,직접,3.4,0.81,7
59089,내 운명 지도: 전국편,연애,205,8,43117,내 사주의 사랑운: 연애만? 결혼까지!,직접,2.9,0.98,6
59089,내 운명 지도: 전국편,연애,205,9,23878,내 운명 지금 어디 있을까?,직접,2.9,1.24,6
59089,내 운명 지도: 전국편,연애,205,10,30875,내 사주 배우자 궁(宮)에 있는 사람은?,직접,2.4,2.11,5
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,1,42952,내 사주에 쓰인 운명의 배우자,직접,5.8,1.26,121
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,직접,4.2,1.28,87
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,3,21964,내 사주에 연애 상대 몇 명 있을까?,직접,3.5,0.83,73
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,4,49255,내 팔자에 새겨진 천년배필,직접,3.1,1.56,65
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,5,2166,그 사람과 나의 사주 궁합,직접,2.2,0.65,45
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,6,2505,지금 날 좋아하는 사람은?,직접,1.9,0.52,39
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,7,2141,그 사람의 속마음,직접,1.8,0.2,38
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,8,1210,우리 얼마나 오래 갈까?,직접,1.6,0.64,33
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,9,23878,내 운명 지금 어디 있을까?,직접,1.5,0.65,32
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,2089,10,21799,월지로 보는 인연: 배우자가 될 3명의 후보,직접,1.5,1.61,32
49816,재회 사주: 헤어져도 다시 만날 필연,연애,908,1,28894,재회 사주: 그 사람과 다시 만날 운명일까?,직접,10.0,2.09,91
49816,재회 사주: 헤어져도 다시 만날 필연,연애,908,2,400,다시 만날 수 있을까,직접,7.5,0.88,68
49816,재회 사주: 헤어져도 다시 만날 필연,연애,908,3,47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,직접,6.7,8.37,61
49816,재회 사주: 헤어져도 다시 만날 필연,연애,908,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,직접,5.8,1.8,53
49816,재회 사주: 헤어져도 다시 만날 필연,연애,908,5,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,직접,5.8,2.03,53
49816,재회 사주: 헤어져도 다시 만날 필연,연애,908,6,47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",직접,5.3,5.05,48
