A,B,viewers,buyers,cvr_from_A,base_cvr,interest_lift
47704,49255,1575,582,0.37,0.213,1.74
47704,48332,1275,401,0.315,0.151,2.08
2141,18433,1205,0,0.0,0.0,
400,2148,1113,0,0.0,0.0,
47704,48892,1011,189,0.187,0.133,1.4
47704,55360,988,304,0.308,0.136,2.26
47704,50312,944,429,0.454,0.225,2.02
47704,42952,859,227,0.264,0.15,1.76
47704,534,850,0,0.0,0.0,
2141,2143,810,0,0.0,0.0,
47704,2143,795,0,0.0,0.0,
47704,55723,776,210,0.271,0.134,2.02
2141,49882,772,332,0.43,0.22,1.95
47704,21799,758,190,0.251,0.132,1.9
47704,51565,740,295,0.399,0.177,2.25
47704,2148,734,0,0.0,0.0,
2141,2505,716,206,0.288,0.289,0.99
47704,2141,710,284,0.4,0.218,1.84
49255,55360,707,200,0.283,0.136,2.08
47704,18433,693,0,0.0,0.0,
47704,50014,693,177,0.255,0.122,2.1
47704,31435,691,165,0.239,0.141,1.69
47704,2166,691,229,0.331,0.195,1.7
47704,43117,684,199,0.291,0.14,2.08
2505,2141,663,188,0.284,0.218,1.3
47704,49816,648,169,0.261,0.165,1.58
2141,534,644,0,0.0,0.0,
2141,2148,608,0,0.0,0.0,
49255,47704,599,206,0.344,0.195,1.76
400,2142,586,360,0.614,0.381,1.61
47704,54668,586,192,0.328,0.179,1.83
47704,52621,576,180,0.313,0.163,1.92
47704,57670,572,240,0.42,0.223,1.89
47704,23878,571,201,0.352,0.21,1.68
28894,2148,570,0,0.0,0.0,
50014,55360,567,271,0.478,0.136,3.51
47704,16468,566,0,0.0,0.0,
2141,2385,562,0,0.0,0.0,
2141,2153,558,0,0.0,0.0,
42952,49255,554,234,0.422,0.213,1.98
400,2141,552,240,0.435,0.218,2.0
43513,47704,549,233,0.424,0.195,2.18
43513,2143,540,0,0.0,0.0,
49255,55723,536,135,0.252,0.134,1.88
47506,2148,534,0,0.0,0.0,
47704,48463,527,102,0.194,0.133,1.45
2141,26214,526,157,0.298,0.184,1.62
2141,17212,523,216,0.413,0.294,1.4
49255,42952,521,158,0.303,0.15,2.02
2141,18648,516,228,0.442,0.081,5.42
49816,2148,512,0,0.0,0.0,
49255,48332,509,102,0.2,0.151,1.32
400,2143,508,0,0.0,0.0,
400,28894,503,156,0.31,0.171,1.81
47704,19192,484,81,0.167,0.114,1.47
2505,18433,478,0,0.0,0.0,
49255,48892,477,68,0.143,0.133,1.07
49255,52621,475,143,0.301,0.163,1.85
47704,26805,472,145,0.307,0.173,1.77
28894,47506,470,200,0.426,0.193,2.2
49255,54668,468,149,0.318,0.179,1.78
47704,28894,467,111,0.238,0.171,1.39
47704,43513,463,123,0.266,0.157,1.69
43513,49255,462,139,0.301,0.213,1.41
49255,50312,459,177,0.386,0.225,1.72
2505,2143,456,0,0.0,0.0,
47704,22360,452,80,0.177,0.106,1.67
2363,2141,450,9,0.02,0.218,0.09
2141,16468,450,0,0.0,0.0,
400,47506,447,154,0.345,0.193,1.78
2141,400,447,186,0.416,0.318,1.31
43513,534,445,0,0.0,0.0,
47704,2288,444,0,0.0,0.0,
42952,47704,439,184,0.419,0.195,2.15
25978,2148,436,0,0.0,0.0,
28894,400,434,235,0.541,0.318,1.7
47506,400,432,214,0.495,0.318,1.56
47935,2148,430,0,0.0,0.0,
400,534,430,0,0.0,0.0,
400,2385,429,0,0.0,0.0,
49255,2143,429,0,0.0,0.0,
49255,534,428,0,0.0,0.0,
49255,21799,427,139,0.326,0.132,2.46
43513,2148,427,0,0.0,0.0,
47704,47935,426,159,0.373,0.188,1.99
21799,49255,425,197,0.464,0.213,2.18
47704,24572,422,71,0.168,0.107,1.57
28894,49816,421,179,0.425,0.165,2.58
