anchor,anchor_name,anchor_nX,rank,rec_menu,rec_name,rec_cat,co_n,conf_pct,lift
59089,내 운명 지도: 전국편,205,1,55723,2026년 솔로 탈출 시기,연애/사주,22,10.7,15.52
59089,내 운명 지도: 전국편,205,2,42952,내 사주에 쓰인 운명의 배우자,연애/사주,10,4.9,2.12
59089,내 운명 지도: 전국편,205,3,13663,어떤 사람과 사귈 운명일까?,연애/타로,8,3.9,2.69
59089,내 운명 지도: 전국편,205,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,8,3.9,2.4
59089,내 운명 지도: 전국편,205,5,51565,2025년 하반기 솔로 탈출 시기,연애/사주,8,3.9,7.61
59089,내 운명 지도: 전국편,205,6,49255,내 팔자에 새겨진 천년배필,연애/사주,8,3.9,3.91
59089,내 운명 지도: 전국편,205,7,50312,2025 을사년 하반기 애정운,연애/사주,7,3.4,3.24
59089,내 운명 지도: 전국편,205,8,43513,2025 을사년 운세: 사랑과 인연,연애/사주,7,3.4,1.13
59089,내 운명 지도: 전국편,205,9,33646,(미상:33646),?,7,3.4,3.29
59089,내 운명 지도: 전국편,205,10,2505,지금 날 좋아하는 사람은?,연애/타로,7,3.4,1.89
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,1,43513,2025 을사년 운세: 사랑과 인연,연애/사주,137,6.5,2.16
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,2,42952,내 사주에 쓰인 운명의 배우자,연애/사주,121,5.7,2.49
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,3,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,87,4.1,2.54
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,4,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,73,3.5,1.65
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,5,49255,내 팔자에 새겨진 천년배필,연애/사주,65,3.1,3.09
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,6,41402,(미상:41402),?,53,2.5,1.55
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,7,2166,그 사람과 나의 사주 궁합,연애/사주,45,2.1,1.3
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,8,50312,2025 을사년 하반기 애정운,연애/사주,43,2.0,1.94
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,9,2505,지금 날 좋아하는 사람은?,연애/타로,39,1.9,1.02
43117,내 사주의 사랑운: 연애만? 결혼까지!,2108,10,43683,[창광] 25년 을사년 사랑운과 인연운,연애/사주,39,1.9,2.78
49816,재회 사주: 헤어져도 다시 만날 필연,939,1,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,91,9.7,4.04
49816,재회 사주: 헤어져도 다시 만날 필연,939,2,400,다시 만날 수 있을까,연애/타로,68,7.2,1.71
49816,재회 사주: 헤어져도 다시 만날 필연,939,3,47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,연애/사주,61,6.5,16.18
49816,재회 사주: 헤어져도 다시 만날 필연,939,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,53,5.6,3.48
49816,재회 사주: 헤어져도 다시 만날 필연,939,5,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,53,5.6,3.93
49816,재회 사주: 헤어져도 다시 만날 필연,939,6,47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",연애/타로,48,5.1,9.78
49816,재회 사주: 헤어져도 다시 만날 필연,939,7,56648,재회 궁합: 그 사람 반드시 돌아오게 하는 법,연애/사주,30,3.2,18.86
49816,재회 사주: 헤어져도 다시 만날 필연,939,8,50312,2025 을사년 하반기 애정운,연애/사주,29,3.1,2.93
49816,재회 사주: 헤어져도 다시 만날 필연,939,9,2142,재회확률 높이는 법,연애/타로,22,2.3,1.58
49816,재회 사주: 헤어져도 다시 만날 필연,939,10,45097,헤어진 X와 재회할 수 있을까?,연애/사주,21,2.2,6.82
60706,결혼 OX 진단: 우리 결혼해도 될까?,6,1,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,2,33.3,33.52
60706,결혼 OX 진단: 우리 결혼해도 될까?,6,2,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,1,16.7,11.2
60706,결혼 OX 진단: 우리 결혼해도 될까?,6,3,42952,내 사주에 쓰인 운명의 배우자,연애/사주,1,16.7,7.23
60706,결혼 OX 진단: 우리 결혼해도 될까?,6,4,57670,2026 병오년 운세: 사랑과 인연,연애/사주,1,16.7,40.16
60706,결혼 OX 진단: 우리 결혼해도 될까?,6,5,33646,(미상:33646),?,1,16.7,16.06
55723,2026년 솔로 탈출 시기,980,1,44273,🔋질문권 충전 (3개),기타/nan,44,4.5,31.97
55723,2026년 솔로 탈출 시기,980,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,42,4.3,2.64
55723,2026년 솔로 탈출 시기,980,3,57670,2026 병오년 운세: 사랑과 인연,연애/사주,40,4.1,9.84
55723,2026년 솔로 탈출 시기,980,4,55360,2026년 신년운세 보고서,총운/사주,37,3.8,7.52
55723,2026년 솔로 탈출 시기,980,5,2505,지금 날 좋아하는 사람은?,연애/타로,35,3.6,1.97
55723,2026년 솔로 탈출 시기,980,6,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,33,3.4,1.6
55723,2026년 솔로 탈출 시기,980,7,13663,어떤 사람과 사귈 운명일까?,연애/타로,32,3.3,2.25
55723,2026년 솔로 탈출 시기,980,8,31435,지금 날 간절히 원하는 사람 누구일까?,연애/타로,32,3.3,4.34
55723,2026년 솔로 탈출 시기,980,9,42952,내 사주에 쓰인 운명의 배우자,연애/사주,28,2.9,1.24
55723,2026년 솔로 탈출 시기,980,10,51565,2025년 하반기 솔로 탈출 시기,연애/사주,26,2.7,5.17
57670,2026 병오년 운세: 사랑과 인연,588,1,55723,2026년 솔로 탈출 시기,연애/사주,40,6.8,9.84
57670,2026 병오년 운세: 사랑과 인연,588,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,40,6.8,4.19
57670,2026 병오년 운세: 사랑과 인연,588,3,55360,2026년 신년운세 보고서,총운/사주,29,4.9,9.83
57670,2026 병오년 운세: 사랑과 인연,588,4,2141,그 사람의 속마음,연애/타로,19,3.2,0.71
57670,2026 병오년 운세: 사랑과 인연,588,5,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,19,3.2,4.88
57670,2026 병오년 운세: 사랑과 인연,588,6,2166,그 사람과 나의 사주 궁합,연애/사주,17,2.9,1.75
57670,2026 병오년 운세: 사랑과 인연,588,7,57835,[추가구매] 2026 병오년 운세: 사랑과 인연,연애/사주,17,2.9,240.99
57670,2026 병오년 운세: 사랑과 인연,588,8,57439,2026년에 찾아올 두 명의 인연,연애/사주,16,2.7,19.18
57670,2026 병오년 운세: 사랑과 인연,588,9,42952,내 사주에 쓰인 운명의 배우자,연애/사주,16,2.7,1.18
57670,2026 병오년 운세: 사랑과 인연,588,10,57769,2026년 족집게 애정운 🌸,연애/사주,16,2.7,19.28
21964,내 사주에 연애 상대 몇 명 있을까?,2983,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,131,4.4,1.91
21964,내 사주에 연애 상대 몇 명 있을까?,2983,2,33646,(미상:33646),?,127,4.3,4.1
21964,내 사주에 연애 상대 몇 명 있을까?,2983,3,23878,내 운명 지금 어디 있을까?,연애/사주,113,3.8,3.21
21964,내 사주에 연애 상대 몇 명 있을까?,2983,4,22360,사주로 보는 내 결혼 상대는?,결혼/사주,94,3.2,2.7
21964,내 사주에 연애 상대 몇 명 있을까?,2983,5,2141,그 사람의 속마음,연애/타로,81,2.7,0.59
21964,내 사주에 연애 상대 몇 명 있을까?,2983,6,36509,(미상:36509),?,80,2.7,2.36
21964,내 사주에 연애 상대 몇 명 있을까?,2983,7,19192,타고난 결혼운 + 내 운명의 상대,결혼/사주,79,2.6,2.91
21964,내 사주에 연애 상대 몇 명 있을까?,2983,8,41402,(미상:41402),?,76,2.5,1.57
21964,내 사주에 연애 상대 몇 명 있을까?,2983,9,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,73,2.4,1.65
21964,내 사주에 연애 상대 몇 명 있을까?,2983,10,43513,2025 을사년 운세: 사랑과 인연,연애/사주,70,2.3,0.78
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,1,2166,그 사람과 나의 사주 궁합,연애/사주,106,7.5,4.57
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,2,1210,우리 얼마나 오래 갈까?,연애/타로,45,3.2,2.57
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,3,26805,그 사람과 나의 3가지 사주궁합,연애/사주,42,3.0,4.49
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,4,43513,2025 을사년 운세: 사랑과 인연,연애/사주,35,2.5,0.83
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,5,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,34,2.4,1.49
