anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,1,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,215,8.8,1.91,7.8
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,2,49255,내 팔자에 새겨진 천년배필,연애/사주,149,6.1,2.21,5.2
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,3,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,131,5.4,1.84,4.6
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,4,59089,내 운명 지도: 전국편,연애/사주,107,4.4,2.35,3.7
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,5,35527,사주 궁합으로 보는 우리의 현재와 미래,연애/사주,101,4.2,17.55,3.4
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,6,57670,2026 병오년 운세: 사랑과 인연,연애/사주,99,4.1,2.18,3.4
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,7,42952,내 사주에 쓰인 운명의 배우자,연애/사주,96,3.9,1.43,3.2
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,8,55723,2026년 솔로 탈출 시기,연애/사주,87,3.6,1.69,2.9
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,9,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,84,3.5,1.34,2.8
43117,내 사주의 사랑운: 연애만? 결혼까지!,2431,10,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,68,2.8,1.02,2.2
49816,재회 사주: 헤어져도 다시 만날 필연,1621,1,57670,2026 병오년 운세: 사랑과 인연,연애/사주,165,10.2,5.46,8.8
49816,재회 사주: 헤어져도 다시 만날 필연,1621,2,47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,연애/사주,158,9.7,7.25,8.4
49816,재회 사주: 헤어져도 다시 만날 필연,1621,3,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,115,7.1,1.53,5.9
49816,재회 사주: 헤어져도 다시 만날 필연,1621,4,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,97,6.0,1.65,4.9
49816,재회 사주: 헤어져도 다시 만날 필연,1621,5,56648,재회 궁합: 그 사람 반드시 돌아오게 하는 법,연애/사주,93,5.7,23.13,4.7
49816,재회 사주: 헤어져도 다시 만날 필연,1621,6,47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",연애/타로,86,5.3,4.71,4.3
49816,재회 사주: 헤어져도 다시 만날 필연,1621,7,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,68,4.2,1.05,3.3
49816,재회 사주: 헤어져도 다시 만날 필연,1621,8,55723,2026년 솔로 탈출 시기,연애/사주,67,4.1,1.96,3.3
49816,재회 사주: 헤어져도 다시 만날 필연,1621,9,59089,내 운명 지도: 전국편,연애/사주,41,2.5,1.35,1.9
49816,재회 사주: 헤어져도 다시 만날 필연,1621,10,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,40,2.5,0.84,1.8
55723,2026년 솔로 탈출 시기,1373,1,59089,내 운명 지도: 전국편,연애/사주,235,17.1,9.15,15.2
55723,2026년 솔로 탈출 시기,1373,2,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,125,9.1,2.27,7.7
55723,2026년 솔로 탈출 시기,1373,3,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,115,8.4,1.81,7.0
55723,2026년 솔로 탈출 시기,1373,4,57670,2026 병오년 운세: 사랑과 인연,연애/사주,77,5.6,3.01,4.5
55723,2026년 솔로 탈출 시기,1373,5,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,68,5.0,1.92,3.9
55723,2026년 솔로 탈출 시기,1373,6,49255,내 팔자에 새겨진 천년배필,연애/사주,57,4.2,1.5,3.2
55723,2026년 솔로 탈출 시기,1373,7,31435,지금 날 간절히 원하는 사람 누구일까?,연애/타로,47,3.4,2.71,2.6
55723,2026년 솔로 탈출 시기,1373,8,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,36,2.6,0.9,1.9
55723,2026년 솔로 탈출 시기,1373,9,57769,2026년 족집게 애정운 🌸,연애/사주,33,2.4,5.33,1.7
55723,2026년 솔로 탈출 시기,1373,10,23878,내 운명 지금 어디 있을까?,연애/사주,31,2.3,1.49,1.6
57670,2026 병오년 운세: 사랑과 인연,780,1,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,106,13.6,4.96,11.4
57670,2026 병오년 운세: 사랑과 인연,780,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,76,9.7,2.11,7.9
57670,2026 병오년 운세: 사랑과 인연,780,3,59089,내 운명 지도: 전국편,연애/사주,51,6.5,3.49,5.0
57670,2026 병오년 운세: 사랑과 인연,780,4,55723,2026년 솔로 탈출 시기,연애/사주,45,5.8,2.73,4.3
57670,2026 병오년 운세: 사랑과 인연,780,5,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,44,5.6,1.41,4.2
57670,2026 병오년 운세: 사랑과 인연,780,6,57769,2026년 족집게 애정운 🌸,연애/사주,32,4.1,9.1,2.9
57670,2026 병오년 운세: 사랑과 인연,780,7,49255,내 팔자에 새겨진 천년배필,연애/사주,32,4.1,1.48,2.9
57670,2026 병오년 운세: 사랑과 인연,780,8,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,26,3.3,1.14,2.3
57670,2026 병오년 운세: 사랑과 인연,780,9,47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,연애/사주,22,2.8,2.1,1.9
57670,2026 병오년 운세: 사랑과 인연,780,10,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,15,1.9,0.75,1.2
21964,내 사주에 연애 상대 몇 명 있을까?,2625,1,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,216,8.2,1.78,7.2
21964,내 사주에 연애 상대 몇 명 있을까?,2625,2,55723,2026년 솔로 탈출 시기,연애/사주,215,8.2,3.88,7.2
21964,내 사주에 연애 상대 몇 명 있을까?,2625,3,59089,내 운명 지도: 전국편,연애/사주,196,7.5,3.99,6.5
21964,내 사주에 연애 상대 몇 명 있을까?,2625,4,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,189,7.2,1.8,6.3
21964,내 사주에 연애 상대 몇 명 있을까?,2625,5,49255,내 팔자에 새겨진 천년배필,연애/사주,169,6.4,2.32,5.6
21964,내 사주에 연애 상대 몇 명 있을까?,2625,6,57670,2026 병오년 운세: 사랑과 인연,연애/사주,86,3.3,1.76,2.7
21964,내 사주에 연애 상대 몇 명 있을까?,2625,7,23878,내 운명 지금 어디 있을까?,연애/사주,83,3.2,2.09,2.6
21964,내 사주에 연애 상대 몇 명 있을까?,2625,8,31435,지금 날 간절히 원하는 사람 누구일까?,연애/타로,77,2.9,2.32,2.4
21964,내 사주에 연애 상대 몇 명 있을까?,2625,9,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,60,2.3,0.78,1.8
21964,내 사주에 연애 상대 몇 명 있을까?,2625,10,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,52,2.0,0.72,1.5
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1771,1,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,122,6.9,1.72,5.8
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1771,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,110,6.2,1.34,5.2
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1771,3,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,91,5.1,1.88,4.2
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1771,4,57670,2026 병오년 운세: 사랑과 인연,연애/사주,73,4.1,2.21,3.3
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1771,5,42952,내 사주에 쓰인 운명의 배우자,연애/사주,50,2.8,1.02,2.1
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1771,6,49255,내 팔자에 새겨진 천년배필,연애/사주,50,2.8,1.02,2.1
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1771,7,2166,그 사람과 나의 사주 궁합,연애/사주,38,2.1,1.86,1.6
